Nombre,Cargo,Grados,Codigo
Salome_Martinez,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_of_Minnesota', 'fecha': '31-07-2000'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '11-07-1995'}]",DIM
Rene_Jofre,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_de_Pau', 'fecha': '31-12-1989'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '30-10-1984'}]",DIM
Fernando_Lema,Instructor,"[{'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '20-01-1981'}]",DIM
Maria_Martinez,Instructor,"[{'Grado': 'Licenciado', 'Institucion': 'Universidad_Nacional_de_Rio_Cuarto', 'fecha': '28-07-2016'}]",DIM
Martin_Matamala,Prof_Titular,"[{'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '29-11-1995'}, {'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '31-12-1994'}]",DIM
Claudio_Munoz,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_de_Versalles_SaintQuentinEnYvelines', 'fecha': '23-06-2010'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '15-09-2006'}]",DIM
Axel_Osses,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'Ecole_Polytechnique_Paris', 'fecha': '12-05-1999'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '14-07-1994'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '18-01-1991'}]",DIM
Javier_Ramirez,Prof_Adjunto,"[{'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Santiago_De_Chile', 'fecha': '25-08-2016'}]",DIM
Gabrielle_Nornberg,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Pontificia_Universidad_Catolica_de_Rio_de_Janeriro', 'fecha': '07-08-2018'}]",DIM
Diana_Narvaez,Prof_Adjunto,"[{'Grado': 'Matematica', 'Institucion': 'Universidad_del_Valle', 'fecha': '16-04-2011'}]",DIM
Pedro_Perez,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '19-01-2018'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '12-12-2014'}]",DIM
Ivan_Rapaport,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'Ecole_Normale_Superieure_de_Lyon', 'fecha': '23-06-1998'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '23-06-1995'}]",DIM
Jaime_SanMartin,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_of_Purdue', 'fecha': '31-12-1990'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '26-07-1985'}]",DIM
Jaime_Ortega,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_Complutense', 'fecha': '31-12-1997'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Concepcion', 'fecha': '07-11-1991'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Concepcion', 'fecha': '20-04-1989'}]",DIM
Patricio_Quiroz,Prof_Adjunto,"[{'Grado': 'Licenciado_en_Ciencias', 'Institucion': 'Universidad_De_Chile', 'fecha': '06-05-2008'}]",DIM
Daniel_Remenik,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_Cornell', 'fecha': '17-08-2009'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '30-11-2004'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '20-07-2004'}]",DIM
Jorge_SanMartin,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'U_Pierre_et_Marie_Curie_Paris_VI', 'fecha': '20-11-1996'}, {'Grado': 'Ingeniero_Civil', 'Institucion': 'Universidad_De_Chile', 'fecha': '29-11-1988'}]",DIM
Leonardo_Sepulveda,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': ""L'Ecole_polytechnique_federale_de_Zurich"", 'fecha': '20-09-2017'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '27-08-2013'}]",DIM
Mauricio_Telias,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Grenoble', 'fecha': '31-12-1983'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '13-08-1976'}]",DIM
Jose_Soto,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Massachusetts_Institute_of_Technology', 'fecha': '03-06-2011'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '29-08-2006'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '18-11-2005'}]",DIM
Hanne_VanDenBosch,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Pontificia_Universidad_Catolica_De_Chile', 'fecha': '09-08-2017'}]",DIM
Leonardo_Sanchez,Prof_Asistente,"[{'Grado': 'Ingeniero_Civil', 'Institucion': 'Universidad_De_Chile', 'fecha': '11-07-1975'}]",DIM
